# Transformacje\ Projekt wykonany przez: And¿elika Bañkowska, Nikola Bobik, Alicja Dymowska 
#  Wyniki podawane sa zgodnie z kolejnoscia okreœlon¹ w pliku opisowym do kodu, oddzielone przecinkiem
472071.341071 , 639114.490922
472071.334339 , 639114.478189
472071.329449 , 639114.465405
472071.325172 , 639114.452603
472071.326154 , 639114.484163
472071.329715 , 639114.480616
472071.323822 , 639114.468434
472071.322521 , 639114.455334
472071.329883 , 639114.485853
472071.331556 , 639114.480565
472071.327985 , 639114.490572
472071.333530 , 639114.480869
