9.092689315350223067e-01,3.670695034002574020e-01,1.413986623911187053e+02
9.092689305349122009e-01,3.670695001091316412e-01,1.413998245187103748e+02
9.092689298238771922e-01,3.670694968180058249e-01,1.414033538121730089e+02
9.092689292092004383e-01,3.670694935268800640e-01,1.414076721584424376e+02
9.092689292246080024e-01,3.670695015722654220e-01,1.414101303601637483e+02
9.092689297988021391e-01,3.670695006943851535e-01,1.414022109340876341e+02
9.092689289278291787e-01,3.670694975495727430e-01,1.414065340952947736e+02
9.092689287813278121e-01,3.670694942035331865e-01,1.414110632864758372e+02
9.092689298022115230e-01,3.670695020292634170e-01,1.414072633683681488e+02
9.092689300878771252e-01,3.670695006943851535e-01,1.414045780999585986e+02
9.092689294837671410e-01,3.670695032178282746e-01,1.414075766578316689e+02
9.092689303961146718e-01,3.670695007857847636e-01,1.414055828107520938e+02
